timestamp,backend,scenario,run_id,window_size,eval_seconds,total_frames,frames_with_face,face_detection_pct,label_changes_10s,mean_latency_ms,mean_fps
2026-05-08 13:06:48,CPU,iluminare_buna,1,15,10.04,91,91,100.0,1,41.89,9.07
2026-05-08 13:14:45,CPU,iluminare_buna,1,15,10.09,92,92,100.0,0,42.24,9.12
2026-05-08 13:15:10,CPU,iluminare_buna,1,15,10.06,137,37,27.01,1,41.86,13.62
2026-05-08 13:15:49,CPU,iluminare_buna,1,15,10.07,91,91,100.0,0,42.24,9.04
2026-05-08 13:16:07,CPU,iluminare_buna,1,15,10.1,95,95,100.0,2,39.65,9.41
2026-05-08 13:16:36,CPU,iluminare_buna,1,15,10.08,92,92,100.0,0,41.94,9.12
2026-05-08 13:17:20,CPU,iluminare_buna,1,15,10.05,90,90,100.0,0,41.56,8.96
