timestamp,elapsed_s,scenario,estimated_pmic_power_w,ext5v_v,temp_c,throttled
2026-06-11 11:24:42,0.0,npu_live,3.1816,5.1456,48.5,0x0
2026-06-11 11:24:43,1.029,npu_live,2.324,5.151,50.15,0x0
2026-06-11 11:24:44,2.055,npu_live,3.1802,5.1456,52.9,0x0
2026-06-11 11:24:45,3.087,npu_live,8.7632,5.1456,52.35,0x0
2026-06-11 11:24:46,4.118,npu_live,6.4115,5.1603,55.65,0x0
2026-06-11 11:24:47,5.149,npu_live,3.9659,5.1309,55.65,0x0
2026-06-11 11:24:48,6.186,npu_live,11.9548,5.2206,56.2,0x0
2026-06-11 11:24:49,7.219,npu_live,7.398,5.1885,57.3,0x0
2026-06-11 11:24:50,8.248,npu_live,8.33,5.1429,57.3,0x0
2026-06-11 11:24:51,9.281,npu_live,7.2169,5.159,55.65,0x0
2026-06-11 11:24:52,10.316,npu_live,6.5892,5.1617,56.75,0x0
2026-06-11 11:24:53,11.351,npu_live,8.4594,5.1228,57.3,0x0
2026-06-11 11:24:54,12.381,npu_live,7.2554,5.1081,57.3,0x0
2026-06-11 11:24:55,13.415,npu_live,6.8702,5.2072,56.75,0x0
2026-06-11 11:24:56,14.441,npu_live,4.5668,5.2086,57.3,0x0
2026-06-11 11:24:57,15.468,npu_live,3.3948,5.1443,56.75,0x0
2026-06-11 11:24:58,16.503,npu_live,3.5032,5.1067,58.4,0x0
2026-06-11 11:24:59,17.535,npu_live,4.761,5.1737,58.4,0x0
2026-06-11 11:25:00,18.571,npu_live,7.2834,5.1456,58.4,0x0
2026-06-11 11:25:01,19.604,npu_live,4.7522,5.1536,58.95,0x0
2026-06-11 11:25:02,20.639,npu_live,9.1794,5.1443,60.05,0x0
2026-06-11 11:25:03,21.67,npu_live,9.2197,5.2515,58.95,0x0
2026-06-11 11:25:04,22.702,npu_live,8.3931,5.1081,58.4,0x0
2026-06-11 11:25:05,23.74,npu_live,6.0512,5.1014,57.85,0x0
2026-06-11 11:25:06,24.768,npu_live,7.1682,5.2059,58.95,0x0
2026-06-11 11:25:07,25.802,npu_live,5.2407,5.0813,58.4,0x0
2026-06-11 11:25:08,26.835,npu_live,8.3687,5.167,58.4,0x0
2026-06-11 11:25:09,27.87,npu_live,7.0392,5.1496,58.95,0x0
2026-06-11 11:25:10,28.903,npu_live,8.6552,5.1657,58.95,0x0
2026-06-11 11:25:12,29.941,npu_live,4.363,5.1322,57.85,0x0
2026-06-11 11:25:13,30.975,npu_live,4.2265,5.0853,58.95,0x0
2026-06-11 11:25:14,32.115,npu_live,5.5006,5.1282,59.5,0x0
2026-06-11 11:25:15,33.153,npu_live,8.0395,5.1818,59.5,0x0
2026-06-11 11:25:16,34.18,npu_live,3.5472,5.1577,60.05,0x0
2026-06-11 11:25:17,35.214,npu_live,5.8253,5.1818,60.05,0x0
2026-06-11 11:25:18,36.246,npu_live,5.4935,5.2314,60.05,0x0
2026-06-11 11:25:19,37.274,npu_live,9.7446,5.1724,60.05,0x0
2026-06-11 11:25:20,38.31,npu_live,5.1779,5.0907,60.05,0x0
2026-06-11 11:25:21,39.343,npu_live,3.9165,5.0572,60.05,0x0
2026-06-11 11:25:22,40.377,npu_live,8.6671,5.1885,59.5,0x0
2026-06-11 11:25:23,41.415,npu_live,4.7736,5.0384,60.6,0x0
2026-06-11 11:25:24,42.449,npu_live,7.8346,5.1349,61.15,0x0
2026-06-11 11:25:25,43.48,npu_live,4.0085,5.1992,61.15,0x0
2026-06-11 11:25:26,44.618,npu_live,2.5103,5.1148,60.05,0x0
2026-06-11 11:25:27,45.65,npu_live,3.4818,5.1188,61.15,0x0
2026-06-11 11:25:28,46.681,npu_live,3.6903,5.0531,60.6,0x0
2026-06-11 11:25:29,47.722,npu_live,7.4188,5.1992,60.6,0x0
2026-06-11 11:25:30,48.851,npu_live,10.5986,5.1577,61.7,0x0
2026-06-11 11:25:31,49.884,npu_live,3.1321,5.1456,60.05,0x0
2026-06-11 11:25:32,50.914,npu_live,6.8781,5.167,60.6,0x0
2026-06-11 11:25:34,51.946,npu_live,4.5798,5.1456,60.6,0x0
2026-06-11 11:25:35,52.985,npu_live,3.4937,5.1483,60.05,0x0
2026-06-11 11:25:36,54.018,npu_live,6.4701,5.1871,61.15,0x0
2026-06-11 11:25:37,55.047,npu_live,3.9001,5.0585,60.05,0x0
2026-06-11 11:25:38,56.083,npu_live,7.6949,5.1764,61.15,0x0
2026-06-11 11:25:39,57.111,npu_live,6.6645,5.1831,60.6,0x0
2026-06-11 11:25:40,58.148,npu_live,2.6674,5.1416,60.6,0x0
2026-06-11 11:25:41,59.177,npu_live,6.8851,5.1536,61.15,0x0
